Node Number	Directional Deformation (µm)
1345	-1.1184e-002
1346	0.7884
1347	0.47789
1348	0.89256
1349	0.10982
1350	0.29285
1351	5.6959e-003
1352	1.6271
1353	-8.916e-003
1354	0.14657
1355	-3.0546e-003
1356	-8.2403e-003
1357	3.8205e-003
1358	9.3051e-003
1359	2.4186e-002
1360	1.9769e-002
1361	0.29784
1362	1.0875
1363	0.53662
1364	1.0014
1365	-1.455e-002
1366	7.0396e-002
1367	0.3297
1368	0.60036
1369	0.6002
1370	0.39022
1371	1.213e-002
1372	5.2379e-003
1373	0.6359
1374	0.20923
1375	3.451e-002
1376	0.82016
1377	0.29749
1378	0.68729
1379	2.1788
1380	2.8093
1381	3.9735e-003
1382	8.2074e-002
1383	4.6345e-002
1384	0.10142
1385	9.6636e-002
1386	5.9319e-002
1387	2.5899e-003
1388	2.8633e-002
1389	0.74233
1390	-2.6006e-002
1391	4.4661e-003
1392	6.8318e-002
1393	1.3632
1394	-1.5251e-003
1395	-2.5923e-003
1396	8.5142e-002
1397	1.8572e-002
1398	-1.102e-003
1399	0.60091
1400	2.8041e-003
1401	7.797e-003
1402	3.1893e-003
1403	-3.7733e-002
1404	-5.1469e-003
1405	0.49069
1406	0.7172
1407	3.4406e-002
1408	2.1957
1409	2.7986e-003
1410	3.0486e-003
1411	0.19866
1412	0.90283
1413	0.71068
1414	6.6735e-002
1415	1.3717e-002
1416	2.7955e-002
1417	0.66462
1418	0.93288
1419	3.7753e-002
1420	1.5448
1421	3.4499
1422	0.69681
1423	0.15349
1424	0.62723
1425	0.6008
1426	1.2054e-002
1427	-6.3386e-003
1428	0.7955
1429	9.7276e-003
1430	0.55261
1431	-3.3985e-002
1432	3.6312e-003
1433	0.18385
1434	1.6379
1435	-9.834e-003
1436	-1.4799e-002
1437	3.4733e-002
1438	1.5098e-002
1439	-1.7202e-002
1440	0.13217
1441	5.0834e-002
1442	-8.5741e-003
1443	5.0523e-003
1444	1.0939e-002
1445	1.0618e-004
1446	7.3396e-002
1447	3.1201e-002
